method,task_id,avg_test_score,std_test_score
EA,2073,0.6043624161073826,0.030199477943948352
Random,2073,0.6796420581655482,0.0139637463394426
TPEBO,2073,0.6818791946308724,0.030268381969878345
TPEC,2073,0.6036912751677852,0.02944427706714272
EA,10090,0.3982456140350877,0.10363774302351883
Random,10090,0.6022222222222222,0.0427683972398912
TPEBO,10090,0.6483333333333333,0.0751849571242664
TPEC,10090,0.3937037037037038,0.09342514590578463
Random,167120,0.5131160022148394,0.002478296235094
EA,168757,0.7140000000000001,0.018814887722226763
Random,168757,0.7753333333333334,0.0185711843695788
TPEBO,168757,0.7845000000000001,0.029576172842340504
TPEC,168757,0.7090000000000001,0.021424285285628532
EA,168784,0.6223076923076922,0.04352257267988497
Random,168784,0.7620512820512821,0.0180388457549031
TPEBO,168784,0.7846153846153847,0.05475424744631441
TPEC,168784,0.616153846153846,0.03933286530661274
EA,168910,0.31310679611650494,0.07194565356323848
Random,168910,0.4905339805825242,0.0161743512888203
TPEBO,168910,0.4818719660194175,0.03553118675995517
TPEC,168910,0.2780859916782246,0.06131748148479992
EA,190146,0.696470588235294,0.04364055762586214
Random,190146,0.7380392156862743,0.0179537617917797
TPEBO,190146,0.7635294117647059,0.033046051541619145
TPEC,190146,0.6917647058823528,0.027237263300682893
EA,190410,0.7338680605623649,0.006042918029646804
Random,190410,0.7624429223744292,0.0080913448158307
TPEBO,190410,0.7643835616438356,0.01567879882501317
TPEC,190410,0.733365949119374,0.005981907661760011
EA,190412,0.71,0.07000000000000002
Random,190412,0.7066666666666666,0.0442216638714053
TPEBO,190412,0.7299999999999999,0.08426149773176361
TPEC,190412,0.7049999999999998,0.058949130612758
EA,359954,0.5817567567567566,0.04430186477779866
Random,359954,0.6495495495495496,0.0249013963262797
TPEBO,359954,0.6398648648648648,0.01826825112783214
TPEC,359954,0.5851351351351352,0.05182921327233812
EA,359955,0.7599999999999999,0.014605934866804436
Random,359955,0.7724444444444445,0.0058962218495206
TPEBO,359955,0.7726666666666666,0.00290593262902711
TPEC,359955,0.7633333333333332,0.013904435743076142
EA,359959,0.5743243243243243,0.033985881999889986
Random,359959,0.5878378378378379,0.0200437796948531
TPEBO,359959,0.5976351351351352,0.01856264441596778
TPEC,359959,0.581081081081081,0.03132979221451251
EA,359969,0.46266339869281037,0.026006969387981468
Random,359969,0.5492374727668845,0.0261428830633971
TPEBO,359969,0.5986111111111111,0.025811175608227963
TPEC,359969,0.4588235294117647,0.02514216912799785
EA,359970,0.4725708502024292,0.015164969995681577
Random,359970,0.5515519568151146,0.0189840220497821
TPEBO,359970,0.5975921585339868,0.06317291446196696
TPEC,359970,0.4703947368421053,0.012346000172962078
EA,359974,0.5419387755102042,0.011925686178880911
Random,359974,0.5948299319727891,0.0138788848231908
TPEBO,359974,0.6598979591836734,0.04350949093875118
TPEC,359974,0.5421428571428571,0.01206112089461363
EA,359977,0.6651791000592067,0.011693728867334508
Random,359977,0.7215018748766528,0.0108831100642287
TPEBO,359977,0.7818936773550218,0.00836183261104018
TPEC,359977,0.665435791966595,0.009266563595550907
EA,359981,0.715896921017403,0.015364694132023324
Random,359981,0.768273092369478,0.0167134193335935
TPEBO,359981,0.8081548415885766,0.02212520139435673
TPEC,359981,0.714190093708166,0.01352910468001274
